"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EJZD4Q2L","journalArticle","2024","Alsharif, Abdulghder Mohamed; Spasojević Brkić, Vesna; Misita, Mirjana; Mihajlović, Ivan; Brkić, Aleksandar; Papić, Neda; Perišić, Martina","The safety climate, hierarchical levels and resilience assessment in transport and mining companies","Civil Engineering and Environmental Systems","","1028-6608, 1029-0249","10.1080/10286608.2024.2313753","https://www.tandfonline.com/doi/full/10.1080/10286608.2024.2313753","Transport and mining companies are vulnerable to a variety of hazards, and this paper oﬀers a novel conceptual framework for organisational resilience assessment at diﬀerent organisational levels. It is based on a safety climate and performances assessment in companies in the transport and mining sector. The framework contains factor and reliability analysis and continues by applying the SMART method from the perspective of resilience corners: anticipate, monitor, react and learn. The highest resilience coeﬃcients at all organisational levels are obtained regarding safety awareness, safety training and safety communication areas, while the lowest values are observed for risk assessment and the organisational environment. The obtained results indicate that the ‘monitor’ resilience corner must be improved at all organisational levels, employees trained and procedures changed, since employees do not suﬃciently use experience from previous events. The very high values at all organisational levels of the coeﬃcients regarding the ‘anticipate’ and ‘learn’ resilience corners indicate organisational adaptation to changes through corrective activities, rather than planned preventive ones. All hierarchical levels have good resilience indicators, except for middle management, which expressed an adequate resilience index, due to the lower ratings of the safety training, organisational commitment, risk assessment and management support areas.","2024-04-02","2024-12-01 13:59:39","2024-12-01 13:59:39","2024-12-01 13:59:39","44-68","","1-2","41","","Civil Engineering and Environmental Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\YY6T5QMV\Alsharif et al. - 2024 - The safety climate, hierarchical levels and resili.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBLHE9KT","journalArticle","2022","Anderson, M.J.; Kiddle, D.A.F.; Logan, T.M.","The underestimated role of the transportation network: Improving disaster & community resilience","Transportation Research Part D: Transport and Environment","","13619209","10.1016/j.trd.2022.103218","https://linkinghub.elsevier.com/retrieve/pii/S1361920922000487","Improving community resilience relies on our ability to evaluate and understand the direct and indirect role of the transportation network. This requires losing our fixation with network functionality in favour of an approach that evaluates whether the network is truly serving the community’s needs. In this paper, we present such an approach. With the understanding that sufficient and equitable access to amenities is key to community resilience, we leverage opensource data and routing algorithms to simulate road and service closures under various hazard scenarios. Among our methodological contributions is the ability to efficiently modify entire transportation networks to reflect hazard damage and identify isolated communities. This makes integrating hazard simulation with access and equity evaluations practicable on a large scale. We illustrate this approach in three cities. Ultimately, a broader view of the transportation network’s role will better support communities prepare for and respond equitably when a disaster occurs.","2022-05","2024-12-01 13:59:44","2024-12-01 13:59:45","2024-12-01 13:59:44","103218","","","106","","Transportation Research Part D: Transport and Environment","The underestimated role of the transportation network","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\YFFKA9FQ\Anderson et al. - 2022 - The underestimated role of the transportation netw.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRL86CX5","journalArticle","2022","Aparicio, Joao Tiago; Arsenio, Elisabete; Santos, Francisco C.; Henriques, Rui","LINES: muLtImodal traNsportation rEsilience analySis","Sustainability","","2071-1050","10.3390/su14137891","https://www.mdpi.com/2071-1050/14/13/7891","This study aims to contribute to more sustainable mobility solutions by proposing robust and actionable methods to assess the resilience of a multimodal transport system. Resilience is seen in a dynamic lean setting, looking at aspects in the network topology and user’s ﬂow and demand throughout a parameterizable period. We hypothesize that this network’s appropriate multi-layered and trafﬁc-sensitive modeling can promote the integrated analysis of different transport modes and support an improved resilience analysis. We operationalize the lean resilience conceptual construct with the proposed muLtImodal traNsportation rEsilience aSsessment (LINES) methodological process. Using the city of Lisbon as a study case, we illustrate the relevance of the proposed methodology to detect actionable vulnerabilities in the bus–tram–subway network.","2022-06-28","2024-12-01 13:59:48","2024-12-01 13:59:49","2024-12-01 13:59:48","7891","","13","14","","Sustainability","LINES","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\ZNJ2KRRY\Aparicio et al. - 2022 - LINES muLtImodal traNsportation rEsilience analyS.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V49BXVH6","journalArticle","2024","Arango, Erica; Nogal, Maria; Sousa, Hélder S.; Matos, José C.; Stewart, Mark G.","Improving societal resilience through a GIS-based approach to manage road transport networks under wildfire hazards","Transportation Engineering","","2666691X","10.1016/j.treng.2023.100219","https://linkinghub.elsevier.com/retrieve/pii/S2666691X23000593","Climate change is causing an increase in the frequency and intensity of wildfires, demonstrating that our capacity to respond to them is insufficient. Therefore, it is necessary to reconsider wildfire management policies, prac­ tices, and decision-support tools, extending beyond emergency measures. This study presents the extension of a GIS-based methodology for fire analysis, providing decision-making support for the implementation of new firerelated policies for road transportation infrastructure. It represents a novel contribution that facilitates the transition towards proactive wildfire policies. The framework is demonstrated to support informed decisionmaking, addressing both reactive actions, i.e., emergency response, and the evaluation of proactive adaptation measures at a system level. The results suggest that landscape management policies can play an important role in improving the resilience of road networks to wildfires.","2024-03","2024-12-01 13:59:53","2024-12-01 13:59:53","2024-12-01 13:59:53","100219","","","15","","Transportation Engineering","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\BUUF79P4\Arango et al. - 2024 - Improving societal resilience through a GIS-based .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SG7YFTF5","conferencePaper","2014","Araujo, Joao Taveira; Landa, Raul; Clegg, Richard G.; Pavlou, George","Software-defined network support for transport resilience","2014 IEEE Network Operations and Management Symposium (NOMS)","978-1-4799-0913-1","","10.1109/NOMS.2014.6838243","http://ieeexplore.ieee.org/document/6838243/","Existing methods for traffic resilience at the net­ work and transport layers typically work in isolation, often resort­ ing to inference in fault detection and recovery respectively. This both duplicates functionality across layers, eroding efficiency, and leads to protracted recovery cycles, affecting responsiveness. Such misalignment is particularly at odds with the unprecedented concentration of traffic in data-centers, in which network and hosts are managed in unison.","2014-05","2024-12-01 13:59:57","2024-12-01 13:59:57","2024-12-01 13:59:57","1-8","","","","","","","","","","","IEEE","Krakow, Poland","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\VTFX5XBV\Araujo et al. - 2014 - Software-defined network support for transport res.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOMS 2014 - 2014 IEEE/IFIP Network Operations and Management Symposium","","","","","","","","","","","","","","",""
"EPWW2WPI","journalArticle","2022","Argyroudis, Sotirios A","Resilience metrics for transport networks: a review and practical examples for bridges","Proceedings of the Institution of Civil Engineers - Bridge Engineering","","1478-4637, 1751-7664","10.1680/jbren.21.00075","https://www.icevirtuallibrary.com/doi/10.1680/jbren.21.00075","Climate change, diverse geohazards and structural deterioration pose major challenges in planning, maintenance and emergency response for transport infrastructure operators. To manage these risks and adapt to changing conditions, well-informed resilience assessment and decision making tools are required. These tools are commonly associated with resilience metrics, which quantify the capacity of transport networks to withstand and absorb damage, recover after disruption and adapt to future changes. Several resilience metrics have been proposed in the literature, but there is lack of practical applications and worked examples. The aim of this paper is to fill this gap and provide engineers and novice researchers with a review of available metrics on the basis of the main properties of resilience (robustness, redundancy, resourcefulness and rapidity). The main steps of resilience assessment for transport infrastructure such as bridges are discussed and the use of fragility and restoration functions to assess the robustness and rapidity of recovery is demonstrated. Practical examples are provided using a bridge exposed to scour effects as a benchmark. An illustrative example of a system of assets is provided and different aspects of resilience-based decision making are discussed, with the aim of providing a comprehensive, yet straightforward, understanding of resilience.","2022-09","2024-12-01 14:00:01","2024-12-01 14:00:01","2024-12-01 14:00:01","179-192","","3","175","","Proceedings of the Institution of Civil Engineers - Bridge Engineering","Resilience metrics for transport networks","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\AICYDDXV\Argyroudis - 2022 - Resilience metrics for transport networks a revie.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRXKCIJJ","journalArticle","2019","Argyroudis, Sotirios A.; Mitoulis, Stergios Α.; Winter, Mike G.; Kaynia, Amir M.","Fragility of transport assets exposed to multiple hazards: State-of-the-art review toward infrastructural resilience","Reliability Engineering & System Safety","","09518320","10.1016/j.ress.2019.106567","https://linkinghub.elsevier.com/retrieve/pii/S0951832018315254","Vulnerability is a fundamental component of risk and its understanding is important for characterising the reliability of infrastructure assets and systems and for mitigating risks. The vulnerability analysis of infrastructure exposed to natural hazards has become a key area of research due to the critical role that infrastructure plays for society and this topic has been the subject of significant advances from new data and insights following recent disasters. Transport systems, in particular, are highly vulnerable to natural hazards, and the physical damage of transport assets may cause significant disruption and socioeconomic impact. More importantly, infrastructure assets comprise Systems of Assets (SoA), i.e. a combination of interdependent assets exposed not to one, but to multiple hazards, depending on the environment within which these reside. Thus, it is of paramount importance for their reliability and safety to enable fragility analysis of SoA subjected to a sequence of hazards. In this context, and after understanding the absence of a relevant study, the aim of this paper is to review the recent advances on fragility assessment of critical transport infrastructure subject to diverse geotechnical and climatic hazards. The effects of these hazards on the main transport assets are summarised and common damage modes are described. Frequently in practice, individual fragility functions for each transport asset are employed as part of a quantitative risk analysis (QRA) of the infrastructure. A comprehensive review of the available fragility functions is provided for different hazards. Engineering advances in the development of numerical fragility functions for individual assets are discussed including soil-structure interaction, deterioration, and multiple hazard effects. The concept of SoA in diverse ecosystems is introduced, where infrastructure is classified based on (i) the road capacity and speed limits and (ii) the geomorphological and topographical conditions. A methodological framework for the development of numerical fragility functions of SoA under multiple hazards is proposed and demonstrated. The paper concludes by detailing the opportunities for future developments in the fragility analysis of transport SoA under multiple hazards, which is of paramount importance in decision-making processes around adaptation, mitigation, and recovery planning in respect of geotechnical and climatic hazards.","2019-11","2024-12-01 14:00:04","2024-12-01 14:00:04","2024-12-01 14:00:04","106567","","","191","","Reliability Engineering & System Safety","Fragility of transport assets exposed to multiple hazards","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\JTRQXN57\Argyroudis et al. - 2019 - Fragility of transport assets exposed to multiple .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRJ8PKY4","journalArticle","2018","Aydin, Nazli Yonca; Duzgun, H. Sebnem; Heinimann, Hans Rudolf; Wenzel, Friedemann; Gnyawali, Kaushal Raj","Framework for improving the resilience and recovery of transportation networks under geohazard risks","International Journal of Disaster Risk Reduction","","22124209","10.1016/j.ijdrr.2018.07.022","https://linkinghub.elsevier.com/retrieve/pii/S2212420918306393","Rural transportation networks are highly susceptible to geohazards such as earthquakes and landslides. Indirect losses can be severe because the breakdown of a transportation network aggravates rescue, supply, and other recovery activities. The operations and logistics of rural networks that are under seismic risks must be managed using the limited resources speciﬁcally in developing countries. We propose a methodology to evaluate road recovery strategies for restoring connectivity after blockages due to earthquakes and earthquake-triggered landslides. This paper gives insight into the recovery process, which can be used by decision-makers for enhancing resilience and supplying immediate relief to rural areas. The proposed framework has four steps: 1) identiﬁcation of strategies for increasing recovery performance, 2) determination of graph-based metrics to represent network connectivity, 3) applying topology-based and Monte Carlo simulations to each strategy, and 4) analysis of recovery times to compare these resilience-enhancement strategies. The methodology was tested using a case study from Sindhupalchok District, Nepal, a region that was severely aﬀected by the Gorkha earthquake in 2015. The closed road segments and recovery times were determined through ﬁeld surveys with locals and governmental authorities, and by investigating the intensity of earthquake-triggered landslides. Our results showed that the proposed approach provides information about the recovery behavior of road networks and simpliﬁes the evaluation process. It is robust enough to extend and assess decision-makers’ preferences for improving resilience.","2018-10","2024-12-01 14:00:10","2024-12-01 14:00:10","2024-12-01 14:00:10","832-843","","","31","","International Journal of Disaster Risk Reduction","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\CEJEML2F\Aydin et al. - 2018 - Framework for improving the resilience and recover.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJKZR3IV","journalArticle","2020","Azolin, Luiza Gagno; Rodrigues Da Silva, Antônio Nélson; Pinto, Nuno","Incorporating public transport in a methodology for assessing resilience in urban mobility","Transportation Research Part D: Transport and Environment","","13619209","10.1016/j.trd.2020.102386","https://linkinghub.elsevier.com/retrieve/pii/S1361920920305733","Resilience has gained importance in the current research and policy agendas as it incorporates concepts of adaptation and transformation. Urban areas are complex systems exposed to diﬀerent shocks, which have impacts on its various components. Research in transport has already incorporated the concept of resilience with more or less sophisticated approaches that are intensive on data and technical expertise. There is a need to explore the incorporation of resilience in simpler and less data intensive methods that can be easily applied in a wider range of contexts. One of the aims of this research is to develop a method that can use commonly available mobility management tools allowing smaller urban areas to analyse and plan for resilience. We present a new development of a method to assess resilience in transport systems with a commonly used mobility management tool (the origin-destination matrix) for calculating an overall measurement of resilience. The method assumes that car trips are transferred to active modes or to the available public transport routes in the event of any disruption in the system. We consider diﬀerent scenarios of availability of public transport in case of disruptive events. We applied the method to two urban areas in Brazil. The variation of the contribution of the public transport presents patterns comparable between the two cases. The spatial distribution of trips shows the relative importance of resilient trips and the cities’ spatial structure. The inclusion of public transport routes has an impact on the levels of accessibility of lower income users.","2020-08","2024-12-01 14:00:14","2024-12-01 14:00:14","2024-12-01 14:00:14","102386","","","85","","Transportation Research Part D: Transport and Environment","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\Z8VN3TV8\Azolin et al. - 2020 - Incorporating public transport in a methodology fo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7PR9YYU","journalArticle","2020","Balakrishnan, Srijith; Zhang, Zhanmin; Machemehl, Randy; Murphy, Michael R.","Mapping resilience of Houston freeway network during Hurricane Harvey using extreme travel time metrics","International Journal of Disaster Risk Reduction","","22124209","10.1016/j.ijdrr.2020.101565","https://linkinghub.elsevier.com/retrieve/pii/S2212420919315778","Traffic operations vary drastically before-, during- and after natural disasters due to several reasons, such as the movement of affected populations, road failures, and heavy precipitation. The disaster-induced effects on road links and their subsequent recovery to the pre-disaster state are functions of the designed network resilience. Thus, the investigation of traffic operations including speed and volume fluctuations during such disasters can provide useful insights into the resilience of the roadway network. Furthermore, identifying road links and corridors which are most affected during natural disasters and estimating the extent of the effect on traffic are crucial steps in devising traffic management strategies for mitigating future hazards. A key challenge to the realization of the above objectives is the lack of data pertaining to roadway and traffic conditions during natural disasters. While modern sensing technologies based on non-Dedicated Short-Range (wireless) Communications such as Bluetooth® have been widely adopted to track traffic performance, they need to be corroborated with supplementary data for a complete characterization of the prevalent traffic conditions. In this study, an alter­ native method is presented for identifying the traffic fluctuations induced by a natural disaster (Hurricane Harvey) on an urban traffic network (Houston) by studying the characteristics of extreme travel time observa­ tions. The study relies on time series decomposition and anomaly detection algorithms to investigate the spatiotemporal effects of the hurricane on the traffic conditions. The results of the case study suggest that the metrics developed are effective in quantifying the resilience of traffic networks against natural disasters by capturing both the initial impact and recovery. The study showed that the Houston freeway network was not completely recovered from the effects of Hurricane Harvey, even three weeks after the occurrence of the hurricane.","2020-08","2024-12-01 14:00:18","2024-12-01 14:00:19","2024-12-01 14:00:18","101565","","","47","","International Journal of Disaster Risk Reduction","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\shrey\Zotero\storage\XQXS2VVU\Balakrishnan et al. - 2020 - Mapping resilience of Houston freeway network duri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
